DATE,DCOILWTICO,DCOILBRENTEU,DHHNGSP,MSFT,JNJ,BAC
01/06/2020,35.49,36.74,1.59,182.830002,147.190002,24.610001
02/06/2020,36.88,37.72,1.58,184.910004,148.25,24.84
03/06/2020,37.33,37.98,1.84,185.360001,148.649994,25.99
04/06/2020,37.42,38.41,1.68,182.919998,146.729996,26.780001
05/06/2020,39.49,41,1.8,187.199997,147.300003,28.110001
08/06/2020,38.17,39.66,1.68,188.360001,146.770004,28.540001
09/06/2020,38.98,40.45,1.68,189.800003,145.960007,28.219999
10/06/2020,39.54,41.18,1.72,196.839996,147.800003,26.6
11/06/2020,36.43,37.76,1.77,186.270004,140.869995,23.93
12/06/2020,36.24,38.54,1.67,187.740005,142.149994,24.780001
15/06/2020,37.07,39.44,1.64,188.940002,141.25,25.15
16/06/2020,38.26,40.75,1.43,193.570007,144.460007,25.799999
17/06/2020,37.91,40.47,1.55,194.240005,144.020004,25
18/06/2020,38.79,41.75,1.51,196.320007,143.410004,25.040001
19/06/2020,39.72,42.33,1.49,195.149994,143.830002,25.25
22/06/2020,40.6,43.2,1.64,200.570007,143.389999,24.620001
23/06/2020,40.4,42.72,1.61,201.910004,142.860001,24.790001
24/06/2020,37.91,40.4,1.64,197.839996,139.820007,23.809999
25/06/2020,38.66,41.18,1.53,200.339996,139.669998,24.719999
26/06/2020,38.53,40.97,1.42,196.330002,137.809998,23.15
29/06/2020,39.67,41.58,1.67,198.440002,139.039993,23.389999
30/06/2020,39.27,41.64,1.76,203.509995,140.630005,23.75
01/07/2020,39.88,42.18,1.69,204.699997,140.380005,23.26
02/07/2020,40.57,43.19,,206.259995,140.970001,23.290001
03/07/2020,,42.92,,,,
06/07/2020,40.51,42.73,1.71,210.699997,142.979996,23.66
07/07/2020,40.59,43.28,1.76,208.25,142.850006,23.01
08/07/2020,40.91,43.67,1.78,212.830002,143.270004,23.1
09/07/2020,39.64,42.35,1.88,214.320007,142.490005,22.77
10/07/2020,40.56,43.27,1.79,213.669998,142.369995,24.02
13/07/2020,40.06,42.85,1.75,207.070007,145.210007,24.190001
14/07/2020,40.3,42.97,1.74,208.350006,147.919998,24.139999
15/07/2020,41.2,43.96,1.76,208.039993,148.259995,24.6
16/07/2020,40.74,43.71,1.79,203.919998,149.25,23.93
17/07/2020,40.55,43.53,1.79,202.880005,149.350006,23.219999
20/07/2020,40.83,43.3,1.71,211.600006,149.600006,23.58
21/07/2020,41.76,44.31,1.66,208.75,149.740005,24.42
22/07/2020,41.88,43.98,1.69,211.75,150.009995,24.309999
23/07/2020,40.99,42.96,1.75,202.539993,149.610001,24.540001
24/07/2020,41.23,43.29,1.77,201.300003,148.119995,24.35
27/07/2020,41.46,43.39,1.85,203.850006,147.179993,24.139999
28/07/2020,40.89,43.11,1.83,202.020004,146.830002,24.360001
29/07/2020,41.13,43.51,1.77,204.059998,146.539993,25.27
30/07/2020,39.85,42.98,1.81,203.899994,146.839996,24.84
31/07/2020,40.1,43.13,1.83,205.009995,145.759995,24.879999
03/08/2020,40.83,43.76,1.95,216.539993,147.350006,24.99
04/08/2020,41.67,43.99,2.07,213.289993,147.220001,25.01
05/08/2020,42.25,44.92,2.23,212.940002,148.399994,25.389999
06/08/2020,41.93,45.04,2.26,216.350006,147.550003,25.469999
07/08/2020,41.16,44.07,2.15,212.479996,148.600006,26.110001
10/08/2020,41.94,44.19,2.18,208.25,148.029999,26.559999
11/08/2020,41.53,43.68,2.19,203.380005,146.970001,26.92
12/08/2020,42.6,45.09,2.05,209.190002,149.660004,26.73
13/08/2020,42.26,44.87,2.19,208.699997,148,26.35
14/08/2020,42.05,44.86,2.23,208.899994,148.240005,26.469999
17/08/2020,42.89,44.91,2.32,210.279999,148.990005,25.9
18/08/2020,42.89,45.34,2.45,211.490005,150.089996,25.530001
19/08/2020,42.91,45.21,2.43,209.699997,150.389999,25.5
20/08/2020,42.62,44.56,2.35,214.580002,151.419998,25.1
21/08/2020,42.32,43.94,2.39,213.020004,152.759995,24.98
24/08/2020,42.44,44.43,2.57,213.690002,152.149994,25.690001
25/08/2020,43.17,46.01,2.54,216.470001,152.059998,26
26/08/2020,43.21,45.79,2.52,221.149994,152.300003,25.559999
27/08/2020,42.88,44.84,2.52,226.580002,152.979996,26.049999
28/08/2020,42.96,45.22,2.46,228.910004,153.639999,26.299999
31/08/2020,42.61,,2.3,225.529999,153.410004,25.74
01/09/2020,42.76,45.72,2.22,227.270004,151.520004,25.709999
02/09/2020,42.76,42.7,2.15,231.649994,153.830002,26.02
03/09/2020,41.39,42.72,2.32,217.300003,149.550003,25.66
04/09/2020,39.69,41.1,1.8,214.25,148.589996,26.540001
07/09/2020,,40.67,,,,
08/09/2020,36.87,38.53,2.35,202.660004,147.259995,25.48
09/09/2020,38.05,39.98,2.21,211.289993,149.699997,25.51
10/09/2020,37.25,39.27,2.13,205.369995,146.910004,25.139999
11/09/2020,37.33,38.8,1.93,204.029999,147.779999,25.5
14/09/2020,37.23,38.57,2.18,205.410004,148.350006,25.75
15/09/2020,38.29,39.54,2.19,208.779999,148.889999,25.280001
16/09/2020,40.17,41.23,2.06,205.050003,148.399994,25.6
17/09/2020,40.99,42.35,1.65,202.910004,147.169998,25.35
18/09/2020,41.09,42.16,1.56,200.389999,149.179993,25.209999
21/09/2020,39.26,40.37,1.33,202.539993,145.100006,24.469999
22/09/2020,39.55,40.84,1.49,207.419998,144.210007,23.940001
23/09/2020,39.92,41.09,1.74,200.589996,144.440002,23.26
24/09/2020,40.11,41.24,1.93,203.190002,144.669998,23.34
25/09/2020,40.06,40.91,1.9,207.820007,145.660004,23.49
28/09/2020,40.47,41.59,1.83,209.440002,147.110001,24.09
29/09/2020,39.03,40.33,1.74,207.259995,147.059998,23.77
30/09/2020,40.05,40.3,1.66,210.330002,148.880005,24.09
01/10/2020,38.51,39.75,1.6,212.460007,147.320007,24.1
02/10/2020,36.9,38,1.41,206.190002,146.240005,24.209999
05/10/2020,39.12,39.78,1.92,210.380005,148.229996,24.620001
06/10/2020,40.52,41.27,1.86,205.910004,146.259995,24.370001
07/10/2020,39.82,40.62,2.01,209.830002,147.880005,24.879999
08/10/2020,41.04,42,1.49,210.580002,148.889999,25.24
09/10/2020,40.44,41.63,2.25,215.809998,150.970001,25.360001
12/10/2020,39.22,40.5,2.31,221.399994,151.839996,25.68
13/10/2020,40.03,41.34,2.14,222.860001,148.360001,24.950001
14/10/2020,40.86,41.81,2.02,220.860001,148.100006,23.620001
15/10/2020,40.84,41.61,2.23,219.660004,147.190002,24.15
16/10/2020,40.7,41.34,2.16,219.660004,148.100006,24.24
19/10/2020,40.69,41.29,2.3,214.220001,144.320007,23.719999
20/10/2020,41.37,41.62,2.57,214.649994,144.550003,24.139999
21/10/2020,39.88,40.09,2.95,214.800003,143.929993,24.049999
22/10/2020,40.46,41.28,2.99,214.889999,145.080002,24.870001
23/10/2020,39.73,40.71,2.91,216.229996,145.240005,24.9
26/10/2020,38.39,39.06,3.14,210.080002,143.970001,24.540001
27/10/2020,39.34,39.72,3.07,213.25,143.149994,23.85
28/10/2020,37.27,37.86,3.14,202.679993,138.360001,23.469999
29/10/2020,35.94,36.56,3.06,204.720001,137.190002,23.540001
30/10/2020,35.64,36.33,3.03,202.470001,137.110001,23.700001
02/11/2020,36.6,37.78,3.03,202.330002,138.690002,24.08
03/11/2020,37.44,38.17,2.88,206.429993,138.5,24.690001
04/11/2020,38.97,39.68,2.63,216.389999,139.399994,23.68
05/11/2020,38.56,39.47,2.69,223.289993,139.759995,24.610001
06/11/2020,36.97,38.08,2.67,223.720001,142.25,24.309999
09/11/2020,40.05,40.93,2.63,218.389999,146.080002,27.76
10/11/2020,41.18,42.25,2.74,211.009995,148.279999,27.66
11/11/2020,41.23,42.5,2.75,216.550003,147.800003,27.34
12/11/2020,40.9,42.16,2.81,215.440002,148.300003,26.690001
13/11/2020,39.93,41.51,2.82,216.509995,149.899994,27
16/11/2020,41.14,42.71,2.62,217.229996,150.850006,27.58
17/11/2020,41.24,42.54,2.55,214.460007,149.350006,27.549999
18/11/2020,41.64,42.91,2.37,211.080002,147.369995,26.98
19/11/2020,41.57,43.09,2.19,212.419998,147.139999,26.98
20/11/2020,41.99,43.79,2.22,210.389999,146.360001,26.809999
23/11/2020,42.91,45,2.23,210.110001,143.869995,27.389999
24/11/2020,44.71,46.63,2.47,213.860001,143.869995,28.98
25/11/2020,45.58,47.3,2.47,213.869995,143.679993,29.030001
26/11/2020,,46.32,,,,
27/11/2020,,46.88,,215.229996,144,28.99
30/11/2020,45.2,46.84,2.89,214.070007,144.679993,28.16
01/12/2020,44.54,47.03,2.89,216.210007,147.449997,28.690001
02/12/2020,45.23,47.8,2.75,215.369995,148.139999,29.059999
03/12/2020,45.65,48.37,2.46,214.240005,149,28.91
04/12/2020,46.23,49.1,2.48,214.360001,150.270004,29.290001
07/12/2020,45.72,48.63,2.39,214.289993,148.970001,29.09
08/12/2020,45.64,48.84,2.36,216.009995,151.550003,28.93
09/12/2020,45.48,48.81,2.45,211.800003,153.100006,28.799999
10/12/2020,46.76,50.33,2.45,210.520004,152.25,29.110001
11/12/2020,46.59,50.01,2.54,213.259995,152.949997,28.57
14/12/2020,47.02,50.27,2.69,214.199997,149.070007,28.219999
15/12/2020,47.58,50.77,2.63,214.130005,150.570007,28.639999
16/12/2020,47.86,50.83,2.73,219.279999,149.669998,28.719999
17/12/2020,48.34,51.2,2.7,219.419998,153.619995,28.83
18/12/2020,49.04,52.17,2.73,218.589996,154.509995,28.67
21/12/2020,47.79,50.61,2.68,222.589996,153.020004,29.74
22/12/2020,47.02,49.88,2.76,223.940002,152.720001,29.209999
23/12/2020,47.94,51.05,2.76,221.020004,151.940002,30.049999
24/12/2020,48.18,50.88,2.68,222.75,152.470001,29.959999
25/12/2020,,,,,,
28/12/2020,47.5,50.88,2.39,224.960007,153.190002,30.129999
29/12/2020,47.85,50.44,2.4,224.149994,154.139999,30.01
30/12/2020,48.24,50.74,2.36,221.679993,156.050003,29.98
31/12/2020,48.35,51.22,,222.419998,157.380005,30.309999
01/01/2021,,,,,,
04/01/2021,47.47,50.37,2.6,217.690002,156.5,30.030001
05/01/2021,49.78,53.16,2.77,217.899994,158.339996,30.26
06/01/2021,50.45,53.8,2.76,212.25,159.830002,32.150002
07/01/2021,50.63,53.7,2.81,218.289993,160.369995,32.860001
08/01/2021,52.14,55.51,2.77,219.619995,160.039993,32.529999
11/01/2021,52.15,54.84,2.71,217.490005,159.369995,33.07
12/01/2021,53.08,55.98,2.89,214.929993,158.130005,33.66
13/01/2021,52.81,55.52,2.82,216.339996,157.889999,33.459999
14/01/2021,53.47,55.76,2.82,213.020004,160.649994,33.990002
15/01/2021,52.25,54.8,2.86,212.649994,160.300003,33.009998
18/01/2021,,54.21,,,,
19/01/2021,52.87,55.38,2.65,216.440002,162.779999,32.77
20/01/2021,53.16,55.66,2.57,224.339996,162.380005,32.34
21/01/2021,53,55.68,2.49,224.970001,161.729996,31.77
22/01/2021,52.28,55.22,2.45,225.949997,163.550003,31.549999
25/01/2021,52.78,55.44,2.63,229.529999,165.979996,31.16
26/01/2021,52.61,55.26,2.73,232.330002,170.479996,30.940001
27/01/2021,52.81,55.07,2.77,232.899994,167.880005,29.83
28/01/2021,52.26,54.87,2.76,238.929993,169.160004,30.32
29/01/2021,52.16,55.25,2.68,231.960007,163.130005,29.65
01/02/2021,53.55,56.42,2.88,239.649994,162.710007,29.959999
02/02/2021,54.77,57.62,3.24,239.509995,161.25,31.030001
03/02/2021,55.67,58.61,3.01,243,160.5,31.58
04/02/2021,56.19,58.98,2.99,242.009995,161.990005,32.5
05/02/2021,56.8,59.48,3.49,242.199997,164.449997,32.369999
08/02/2021,57.95,60.17,3.4,242.470001,164.919998,33.09
09/02/2021,58.34,60.74,3.35,243.770004,166.270004,32.950001
10/02/2021,58.69,61.17,3.76,242.820007,166.809998,32.98
11/02/2021,58.22,61.09,6.5,244.490005,166.059998,32.880001
12/02/2021,59.5,62.47,6.12,244.990005,166.580002,33.369999
15/02/2021,,63.58,,,,
16/02/2021,60.07,63.96,11.32,243.699997,165.070007,34.27
17/02/2021,61.09,65.02,23.86,244.199997,165.660004,34.41
18/02/2021,60.4,64.09,8.56,243.789993,165.740005,34.189999
19/02/2021,59.12,62.84,4.96,240.970001,162.979996,34.540001
22/02/2021,61.67,64.73,3.16,234.509995,161.869995,35.150002
23/02/2021,61.66,65.16,2.94,233.270004,160.440002,35.52
24/02/2021,63.21,66.85,2.8,234.550003,162.589996,36.380001
25/02/2021,63.43,66.69,2.72,228.990005,162.759995,35.93
26/02/2021,61.55,65.86,2.66,232.380005,158.460007,34.709999
01/03/2021,60.54,64.56,2.7,236.940002,159.320007,35.790001
02/03/2021,59.7,63.17,2.87,233.869995,159.020004,35.529999
03/03/2021,61.33,64.7,2.86,227.559998,156.220001,36.419998
04/03/2021,63.81,67.32,2.79,226.729996,153.070007,36.5
05/03/2021,66.08,69.95,2.72,231.600006,156.100006,36.93
08/03/2021,65.03,68,2.67,227.389999,157.399994,37.130001
09/03/2021,64.02,67.03,2.62,233.779999,157.699997,36.32
10/03/2021,64.45,67.53,2.62,232.419998,159.149994,37.369999
11/03/2021,66.02,69.34,2.7,237.130005,159.139999,37.240002
12/03/2021,65.59,68.87,2.65,235.75,159.600006,37.939999
15/03/2021,65.36,68.78,2.58,234.809998,160.419998,37.75
16/03/2021,64.82,67.95,2.5,237.710007,161.369995,37.639999
17/03/2021,64.55,67.73,2.6,237.039993,160.770004,37.950001
18/03/2021,59.95,62.11,2.45,230.720001,160.470001,38.939999
19/03/2021,61.43,64,2.53,230.350006,160.039993,38.529999
22/03/2021,61.48,63.89,2.55,235.990005,160.5,37.66
23/03/2021,57.75,59.96,2.56,237.580002,160.350006,36.900002
24/03/2021,61.12,63.7,2.56,235.460007,161.910004,36.900002
25/03/2021,58.47,61.21,2.52,232.339996,161.970001,37.66
26/03/2021,60.93,63.77,2.52,236.479996,164.929993,38.68
29/03/2021,61.49,64.06,2.58,235.240005,166.039993,38.310001
30/03/2021,60.55,63.28,2.55,231.850006,165.009995,38.990002
31/03/2021,59.19,63.52,2.52,235.770004,164.350006,38.689999
01/04/2021,61.41,63.85,2.52,242.350006,162.830002,39.490002
02/04/2021,,,,,,
05/04/2021,58.73,,2.43,249.070007,163.429993,39.799999
06/04/2021,59.34,61.47,2.44,247.860001,163.389999,39.689999
07/04/2021,59.77,61.86,2.43,249.899994,163.610001,40.049999
08/04/2021,59.61,62.09,2.47,253.25,162.970001,39.700001
09/04/2021,59.29,61.89,2.48,255.850006,161.25,39.990002
12/04/2021,59.7,62.38,2.5,255.910004,161.639999,40.060001
13/04/2021,60.2,62.83,2.57,258.48999,159.479996,39.32
14/04/2021,63.15,66.11,2.65,255.589996,159.919998,39.880001
15/04/2021,63.42,66.13,2.62,259.5,160.389999,38.740002
16/04/2021,63.16,65.98,2.63,260.73999,162.240005,39.150002
